Date,Site,Time,Air_temp,Wind_speed,Rainfall_accumulation,Rainfall_last_3hrs,Comment
12/05/2023,Barnes,15:00,11.9,3.1,0.3,0.3,
12/05/2023,Barnes,18:00,11.6,7.2,0.3,0,
12/05/2023,Barnes,21:00,11,3.1,0.3,0,
13/05/2023,Barnes,00:00,10.4,3.7,0.3,0,
13/05/2023,Barnes,03:00,9.9,3.5,0,0,
13/05/2023,Barnes,06:00,9.7,1.4,0,0,
13/05/2023,Barnes,09:00,10.1,3.9,0,0,
13/05/2023,Barnes,12:00,11.3,4.4,0,0,
13/05/2023,Barnes,15:00,12.8,3.1,0,0,
13/05/2023,Barnes,18:00,12.4,3.7,0,0,
13/05/2023,Barnes,21:00,11.4,2.5,0,0,
14/05/2023,Barnes,00:00,10.1,2.5,0,0,
14/05/2023,Barnes,03:00,9.1,3.3,0,0,
14/05/2023,Barnes,06:00,8.4,1.6,0,0,
14/05/2023,Barnes,09:00,9.2,1.6,0,0,
14/05/2023,Barnes,12:00,14.4,1.7,0,0,
14/05/2023,Barnes,15:00,19.2,3.3,0,0,
14/05/2023,Barnes,18:00,20,0,0,0,
14/05/2023,Barnes,21:00,17.6,3,0,0,
15/05/2023,Barnes,00:00,15.2,1.9,0,0,
15/05/2023,Barnes,03:00,13.9,4.7,0,0,
15/05/2023,Barnes,06:00,10.8,5,2.4,2.4,
15/05/2023,Barnes,09:00,11.7,8.3,2.5,0.1,
15/05/2023,Barnes,12:00,13.3,10.3,2.5,0,
15/05/2023,Barnes,15:00,14.9,4.1,2.5,0,
15/05/2023,Barnes,18:00,14.4,1.9,2.5,0,
15/05/2023,Barnes,21:00,12.3,1.6,2.5,0,
16/05/2023,Barnes,00:00,9.9,1.1,2.5,0,
16/05/2023,Barnes,03:00,8.1,1.7,0,0,
16/05/2023,Barnes,06:00,7.4,0,0,0,
16/05/2023,Barnes,09:00,11.9,2.2,0,0,
16/05/2023,Barnes,12:00,14.3,2.5,0,0,
16/05/2023,Barnes,15:00,17.2,1.6,0,0,
16/05/2023,Barnes,18:00,16.4,2.4,0,0,
16/05/2023,Barnes,21:00,14.4,1.4,0,0,
02/05/2023,Silwood,20:22,11.8,0,0,,Sunset data
03/05/2023,Silwood,20:24,10.6,1.6,0,,Sunset data
04/05/2023,Silwood,20:26,15,0.2,0,,Sunset data
05/05/2023,Silwood,20:29,15.1,1,0.5,,Sunset data
06/05/2023,Silwood,20:32,13.6,1.6,8.6,,Sunset data
07/05/2023,Silwood,20:35,15.1,0,0,,Sunset data
08/05/2023,Silwood,20:36,13.4,0.2,0,,Sunset data
09/05/2023,Silwood,20:37,11.4,0,8.9,,Sunset data
10/05/2023,Silwood,20:40,12.2,0,6.1,,Sunset data
11/05/2023,Silwood,20:42,11.2,0,6.6,,Sunset data
12/05/2023,Silwood,20:44,11.2,1,0.6,,Sunset data
13/05/2023,Silwood,20:45,11.8,0,0,,Sunset data
14/05/2023,Silwood,20:47,16.9,0.2,0,,Sunset data
15/05/2023,Silwood,20:48,11.1,0,3.5,,Sunset data
02/05/2023,Barnes,20:22,10.8,5.8,0,,Sunset data
03/05/2023,Barnes,20:24,10.5,3.1,0,,Sunset data
04/05/2023,Barnes,20:26,16.1,3.5,0,,Sunset data
05/05/2023,Barnes,20:29,16.2,5.7,0.3,,Sunset data
06/05/2023,Barnes,20:31,13.8,4.9,5.1,,Sunset data
07/05/2023,Barnes,20:33,17.2,1,0,,Sunset data
08/05/2023,Barnes,20:34,13.8,1.9,0,,Sunset data
09/05/2023,Barnes,20:36,12.2,1,9.1,,Sunset data
10/05/2023,Barnes,20:37,13.3,0,5,,Sunset data
11/05/2023,Barnes,20:39,12.8,1.6,0.6,,Sunset data
12/05/2023,Barnes,20:40,11.1,4.9,0.3,,Sunset data
13/05/2023,Barnes,20:42,11.5,3.7,0,,Sunset data
14/05/2023,Barnes,20:43,17.8,1.6,0,,Sunset data
15/05/2023,Barnes,20:45,12.5,2.5,2.5,,Sunset data
16/05/2023,Barnes,20:46,14.8,4.3,0,,Sunset data
20/05/2023,Barnes,18:00,19.7,1.9,0,0,invertebrate trap data
20/05/2023,Barnes,21:00,15.6,3,0,0,invertebrate trap data
21/05/2023,Barnes,00:00,12.1,2.7,0,0,invertebrate trap data
21/05/2023,Barnes,03:00,9.9,2.7,0,0,invertebrate trap data
21/05/2023,Barnes,06:00,9.5,4.9,0,0,invertebrate trap data
21/05/2023,Barnes,09:00,15.1,2.2,0,0,invertebrate trap data
23/05/2023,Silwood,18:00,18,0,0,0,invertebrate trap data
23/05/2023,Silwood,21:00,13.5,0,0,0,invertebrate trap data
24/05/2023,Silwood,00:00,9.5,0,0,0,invertebrate trap data
24/05/2023,Silwood,03:00,7.9,0,0,0,invertebrate trap data
24/05/2023,Silwood,06:00,7.9,0,0,0,invertebrate trap data
24/05/2023,Silwood,09:00,14.4,1,0,0,invertebrate trap data
