"Sample_point","Site","date","total_bat_passes","total_bat_fb","total_bat_activity","com_pip_passes","sop_pip_passes","nat_pip_passes","noid_pip_passes","nls_passes","myotis_passes","unknown_passes","com_pip_fb","sop_pip_fb","noid_pip_fb","social_calls","mins_rec","total_feeding_rate","com_pip_feeding_rate","sop_pip_feeding_rate","lux","Distance_from_water_body","Distance_from_building","Distance_from_woodland","Distance_from_woodland_edge","Distance_from_road","Distance_from_rail","Distance_from_any_artificial_light","Distance_from_streetlamp","No_streetlamps_within_10m","No_streetlamps_within_25m","No_streetlamps_within_50m","No_streetlamps_within_100m","tree_density","mean_gap","canopy_cover","Invert_count","Sun_rise","Sun_set","Moon_rise","Moon_set","Moon_illumination_meridian_passing","Mean_temp_night","Mean_wind_speed_night","Mean_rainfall_last_3hrs_night","mean_dB","var_amp","amp"
"S112","Silwood","02/05/2023",14,0,7,3,9,0,0,0,2,0,0,0,0,4,102,0,0,0,0.02,195,175,0,20,280,1535,188,188,0,0,0,0,145.158949049209,0.287710945875022,0.712289054124978,2,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-54.9427272727273,0.0087554028365912,2.02768271952128
"S112","Silwood","05/05/2023",59,3,33,15,33,0,0,0,10,1,0,3,0,4,102,0.0508474576271186,0,0.0909090909090909,0.02,195,175,0,20,280,1535,188,188,0,0,0,0,145.158949049209,0.287710945875022,0.712289054124978,2,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-54.9427272727273,0.0087554028365912,2.02768271952128
"S112","Silwood","06/05/2023",23,1,14,13,10,0,0,0,0,0,1,0,0,5,102,0.0434782608695652,0.0769230769230769,0,0.02,195,175,0,20,280,1535,188,188,0,0,0,0,145.158949049209,0.287710945875022,0.712289054124978,2,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-54.9427272727273,0.0087554028365912,2.02768271952128
"S113","Silwood","06/05/2023",153,14,37,91,61,0,0,0,1,0,7,7,0,58,102,0.0915032679738562,0.0769230769230769,0.114754098360656,0.02,200,210,0,20,260,1460,266,266,0,0,0,0,310.504764307477,0.340037631767018,0.659962368232982,2,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-54.5254545454545,0.0266128607087806,2.1274709388896
"S113","Silwood","05/05/2023",72,5,27,55,12,0,3,0,1,1,4,1,0,11,102,0.0694444444444444,0.0727272727272727,0.0833333333333333,0.02,200,210,0,20,260,1460,266,266,0,0,0,0,310.504764307477,0.340037631767018,0.659962368232982,2,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-54.5254545454545,0.0266128607087806,2.1274709388896
"S113","Silwood","02/05/2023",6,0,4,2,3,0,0,0,1,0,0,0,0,0,102,0,0,0,0.02,200,210,0,20,260,1460,266,266,0,0,0,0,310.504764307477,0.340037631767018,0.659962368232982,2,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-54.5254545454545,0.0266128607087806,2.1274709388896
"S121","Silwood","06/05/2023",67,1,23,44,18,0,5,0,0,0,1,0,0,15,102,0.0149253731343284,0.0227272727272727,0,0.02,110,95,0,27,240,1570,70,184,0,0,0,0,443.213296398892,0.142096805487315,0.857903194512685,3,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-57.0518181818182,0.33391609706412,1.59054314606282
"S121","Silwood","05/05/2023",228,3,63,114,104,0,5,0,5,0,0,2,1,156,102,0.0131578947368421,0,0.0192307692307692,0.02,110,95,0,27,240,1570,70,184,0,0,0,0,443.213296398892,0.142096805487315,0.857903194512685,3,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-57.0518181818182,0.33391609706412,1.59054314606282
"S121","Silwood","02/05/2023",23,2,8,3,14,0,0,0,5,1,2,0,0,15,102,0.0869565217391304,0.666666666666667,0,0.02,110,95,0,27,240,1570,70,184,0,0,0,0,443.213296398892,0.142096805487315,0.857903194512685,3,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-57.0518181818182,0.33391609706412,1.59054314606282
"S122","Silwood","05/05/2023",43,1,30,27,14,0,2,0,0,0,1,0,0,207,102,0.0232558139534884,0.037037037037037,0,0.01,50,10,0,10,280,1600,15,239,0,0,0,0,192.23317884594,0.351975022193809,0.648024977806191,2,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-56.8136363636364,0.0542898174032272,1.63476204314333
